SK_ID_CURR,LIVE_REGION_NOT_WORK_REGION,REG_REGION_NOT_LIVE_REGION,NAME_HOUSING_TYPE,FLAG_DOCUMENT_2,NAME_CONTRACT_TYPE
100194,0,0,House / apartment,0,Revolving loans
100197,0,0,House / apartment,0,Cash loans
100198,0,0,House / apartment,0,Cash loans
100200,0,0,House / apartment,0,Cash loans
100205,0,0,House / apartment,0,Cash loans
100206,0,0,House / apartment,0,Cash loans
100208,0,0,House / apartment,0,Cash loans
100209,0,0,House / apartment,0,Revolving loans
100210,0,0,House / apartment,0,Cash loans
100211,0,0,House / apartment,0,Cash loans
100214,0,0,House / apartment,0,Cash loans
100215,0,0,House / apartment,0,Cash loans
100217,0,0,House / apartment,0,Cash loans
100218,0,0,House / apartment,0,Cash loans
100226,0,0,House / apartment,0,Revolving loans
100228,0,0,Municipal apartment,0,Cash loans
100229,0,0,House / apartment,0,Cash loans
100234,0,0,With parents,0,Revolving loans
100238,0,0,House / apartment,0,Cash loans
100240,0,0,House / apartment,0,Cash loans
100242,0,0,Municipal apartment,0,Cash loans
100246,0,0,House / apartment,0,Cash loans
100247,1,0,House / apartment,0,Cash loans
100254,0,0,House / apartment,0,Cash loans
100258,0,0,House / apartment,0,Cash loans
100260,1,0,Co-op apartment,0,Cash loans
100261,0,0,House / apartment,0,Cash loans
100262,0,1,House / apartment,0,Cash loans
100267,0,0,House / apartment,0,Cash loans
100272,0,0,House / apartment,0,Revolving loans
100274,0,0,House / apartment,0,Cash loans
100276,0,0,House / apartment,0,Cash loans
100282,0,0,House / apartment,0,Revolving loans
100285,0,0,Rented apartment,0,Revolving loans
100286,0,0,House / apartment,0,Cash loans
100288,1,0,House / apartment,0,Cash loans
100290,0,0,House / apartment,0,Cash loans
100293,0,0,House / apartment,0,Cash loans
100296,1,0,House / apartment,0,Cash loans
100301,0,0,House / apartment,0,Cash loans
100305,0,0,House / apartment,0,Cash loans
100308,0,0,House / apartment,0,Cash loans
100314,1,0,House / apartment,0,Cash loans
100320,1,0,House / apartment,0,Cash loans
100321,0,0,House / apartment,0,Cash loans
100326,0,0,House / apartment,0,Cash loans
100335,0,0,House / apartment,0,Cash loans
100337,1,0,House / apartment,0,Cash loans
100339,0,0,House / apartment,0,Revolving loans
100343,0,0,With parents,0,Cash loans
100347,0,0,House / apartment,0,Cash loans
100350,0,0,House / apartment,0,Cash loans
100353,0,0,House / apartment,0,Cash loans
100357,0,0,House / apartment,0,Revolving loans
100359,1,0,House / apartment,0,Cash loans
100361,0,0,House / apartment,0,Cash loans
100369,0,0,House / apartment,0,Cash loans
100371,0,1,House / apartment,0,Cash loans
100374,0,0,House / apartment,0,Cash loans
100376,0,0,House / apartment,0,Cash loans
100378,0,0,House / apartment,0,Cash loans
100383,0,0,House / apartment,0,Cash loans
100387,0,0,House / apartment,0,Cash loans
100388,0,0,House / apartment,0,Cash loans
100390,0,0,House / apartment,0,Cash loans
100392,0,0,With parents,0,Revolving loans
100394,0,0,House / apartment,0,Cash loans
100395,0,0,Municipal apartment,0,Cash loans
100396,0,0,House / apartment,0,Cash loans
100397,0,0,House / apartment,0,Cash loans
100405,1,0,House / apartment,0,Cash loans
100407,0,0,House / apartment,0,Cash loans
100408,0,0,House / apartment,0,Cash loans
100413,0,0,House / apartment,0,Cash loans
100417,0,0,House / apartment,0,Cash loans
100420,0,0,House / apartment,0,Cash loans
100425,0,0,House / apartment,0,Cash loans
100431,0,0,House / apartment,0,Cash loans
100436,0,0,House / apartment,0,Revolving loans
100443,0,0,House / apartment,0,Cash loans
100449,0,0,House / apartment,0,Cash loans
100457,0,0,House / apartment,0,Revolving loans
100461,0,0,House / apartment,0,Cash loans
100463,0,0,House / apartment,0,Cash loans
100464,0,0,House / apartment,0,Cash loans
100465,0,0,House / apartment,0,Cash loans
100469,0,0,House / apartment,0,Revolving loans
100472,0,0,House / apartment,0,Cash loans
100474,0,0,House / apartment,0,Revolving loans
100475,0,0,House / apartment,0,Revolving loans
100480,1,0,House / apartment,0,Cash loans
100481,0,0,House / apartment,0,Revolving loans
100482,0,0,Office apartment,0,Cash loans
100485,0,0,House / apartment,0,Revolving loans
100488,0,0,House / apartment,0,Cash loans
100495,0,0,House / apartment,0,Cash loans
100497,0,0,House / apartment,0,Revolving loans
100501,0,0,House / apartment,0,Cash loans
100506,0,0,House / apartment,0,Cash loans
100519,0,0,Municipal apartment,0,Cash loans
100521,0,0,House / apartment,0,Revolving loans
100522,0,0,House / apartment,0,Cash loans
100524,0,0,House / apartment,0,Cash loans
100525,0,0,House / apartment,0,Cash loans
100526,0,0,House / apartment,0,Cash loans
100530,0,0,House / apartment,0,Cash loans
100532,0,0,House / apartment,0,Cash loans
100534,0,0,House / apartment,0,Cash loans
100537,0,0,House / apartment,0,Cash loans
100538,0,0,House / apartment,0,Cash loans
100539,0,0,House / apartment,0,Cash loans
100544,0,0,House / apartment,0,Cash loans
100546,0,0,House / apartment,0,Cash loans
100554,0,0,Office apartment,0,Cash loans
100555,0,0,Rented apartment,0,Cash loans
100558,0,0,House / apartment,0,Revolving loans
100563,0,0,House / apartment,0,Cash loans
100570,0,0,House / apartment,0,Cash loans
100571,0,0,House / apartment,0,Cash loans
100574,0,0,House / apartment,0,Cash loans
100581,0,0,House / apartment,0,Cash loans
100586,0,0,House / apartment,0,Cash loans
100590,0,0,House / apartment,0,Cash loans
100595,0,0,House / apartment,0,Cash loans
100598,0,0,House / apartment,0,Cash loans
100601,0,0,House / apartment,0,Cash loans
100606,0,0,House / apartment,0,Cash loans
100609,0,0,House / apartment,0,Cash loans
100610,1,0,House / apartment,0,Cash loans
100611,0,0,House / apartment,0,Cash loans
100612,0,0,House / apartment,0,Cash loans
100616,0,0,House / apartment,0,Cash loans
100619,0,0,House / apartment,0,Cash loans
100621,0,0,House / apartment,0,Cash loans
100628,0,0,House / apartment,0,Cash loans
100633,0,0,House / apartment,0,Cash loans
100635,0,0,House / apartment,0,Cash loans
100640,0,0,House / apartment,0,Cash loans
100642,0,0,House / apartment,0,Cash loans
100646,0,0,House / apartment,0,Cash loans
100649,0,0,House / apartment,0,Cash loans
100650,0,0,House / apartment,0,Cash loans
100652,0,0,House / apartment,0,Cash loans
100658,0,0,House / apartment,0,Cash loans
100661,0,0,House / apartment,0,Cash loans
100671,0,0,With parents,0,Cash loans
100680,0,0,House / apartment,0,Cash loans
100681,0,0,House / apartment,0,Cash loans
100690,0,0,House / apartment,0,Cash loans
100691,0,0,House / apartment,0,Revolving loans
100692,0,0,House / apartment,0,Cash loans
100693,0,0,House / apartment,0,Cash loans
100695,0,0,House / apartment,0,Cash loans
100696,1,0,House / apartment,0,Cash loans
100697,0,0,House / apartment,0,Cash loans
100700,0,0,House / apartment,0,Cash loans
100708,0,0,House / apartment,0,Cash loans
100709,0,0,House / apartment,0,Cash loans
100710,0,1,House / apartment,0,Cash loans
100712,0,0,House / apartment,0,Cash loans
100723,0,0,House / apartment,0,Cash loans
100724,0,0,House / apartment,0,Cash loans
100728,0,0,With parents,0,Cash loans
100732,0,0,House / apartment,0,Cash loans
100733,0,0,House / apartment,0,Cash loans
100741,0,0,With parents,0,Cash loans
100743,0,0,House / apartment,0,Cash loans
100748,0,0,House / apartment,0,Cash loans
100749,0,0,House / apartment,0,Cash loans
100750,0,0,House / apartment,0,Cash loans
100759,0,0,Municipal apartment,0,Cash loans
100773,0,0,House / apartment,0,Cash loans
100789,0,0,House / apartment,0,Cash loans
100793,0,0,House / apartment,0,Cash loans
100795,0,0,House / apartment,0,Cash loans
100796,0,0,House / apartment,0,Cash loans
100798,0,0,House / apartment,0,Cash loans
100800,0,0,House / apartment,0,Cash loans
100802,0,0,House / apartment,0,Cash loans
100803,0,0,House / apartment,0,Cash loans
100805,0,0,House / apartment,0,Cash loans
100806,0,0,House / apartment,0,Cash loans
100807,0,0,House / apartment,0,Cash loans
100810,0,0,House / apartment,0,Revolving loans
100811,0,0,House / apartment,0,Cash loans
100815,0,0,House / apartment,0,Cash loans
100816,0,0,House / apartment,0,Cash loans
100819,0,0,Municipal apartment,0,Cash loans
100827,0,0,House / apartment,0,Cash loans
100828,0,0,House / apartment,0,Cash loans
100835,1,0,Co-op apartment,0,Cash loans
100837,0,0,House / apartment,0,Revolving loans
100842,0,0,Office apartment,0,Cash loans
100843,0,0,Municipal apartment,0,Cash loans
100845,0,0,House / apartment,0,Cash loans
100846,0,0,House / apartment,0,Cash loans
100848,0,0,House / apartment,0,Cash loans
100850,0,0,House / apartment,0,Cash loans
100851,0,0,House / apartment,0,Revolving loans
100852,0,0,House / apartment,0,Cash loans
100857,0,0,House / apartment,0,Cash loans
100874,0,0,House / apartment,0,Cash loans
100877,0,0,House / apartment,0,Cash loans
100880,0,0,House / apartment,0,Cash loans
100888,0,0,House / apartment,0,Cash loans
100890,0,0,House / apartment,0,Cash loans
100891,0,0,House / apartment,0,Cash loans
100892,0,0,House / apartment,0,Cash loans
100894,0,0,With parents,0,Cash loans
100896,0,0,House / apartment,0,Cash loans
100899,0,0,House / apartment,0,Cash loans
100900,0,0,House / apartment,0,Cash loans
100915,0,0,House / apartment,0,Cash loans
100922,0,0,Co-op apartment,0,Cash loans
100932,0,0,House / apartment,0,Cash loans
100941,0,0,House / apartment,0,Cash loans
100942,0,0,House / apartment,0,Cash loans
100945,0,0,House / apartment,0,Cash loans
100947,0,0,House / apartment,0,Cash loans
100949,0,0,House / apartment,0,Cash loans
100950,0,0,House / apartment,0,Cash loans
100959,0,0,House / apartment,0,Cash loans
100964,0,0,House / apartment,0,Cash loans
100972,0,0,House / apartment,0,Cash loans
100977,0,0,House / apartment,0,Cash loans
100978,0,0,House / apartment,0,Cash loans
100980,0,0,House / apartment,0,Cash loans
100981,0,0,House / apartment,0,Cash loans
100991,0,0,House / apartment,0,Cash loans
100992,0,0,House / apartment,0,Cash loans
100994,0,0,Municipal apartment,0,Cash loans
101000,0,0,House / apartment,0,Cash loans
101001,0,0,Municipal apartment,0,Cash loans
101007,0,0,House / apartment,0,Cash loans
101012,0,0,House / apartment,0,Cash loans
101015,0,0,House / apartment,0,Cash loans
101029,0,0,House / apartment,0,Revolving loans
101030,0,0,House / apartment,0,Cash loans
101035,0,0,House / apartment,0,Cash loans
101037,0,0,House / apartment,0,Cash loans
101039,0,0,House / apartment,0,Cash loans
101043,0,0,House / apartment,0,Cash loans
101048,0,0,House / apartment,0,Cash loans
101052,0,0,House / apartment,0,Revolving loans
101058,0,0,With parents,0,Cash loans
101060,0,0,Municipal apartment,0,Cash loans
101065,0,0,Municipal apartment,0,Cash loans
101066,0,0,House / apartment,0,Cash loans
101071,0,0,House / apartment,0,Cash loans
101074,0,0,House / apartment,0,Cash loans
101078,0,0,House / apartment,0,Cash loans
101081,0,0,House / apartment,0,Cash loans
101086,0,0,House / apartment,0,Cash loans
101091,0,0,House / apartment,0,Cash loans
101110,0,0,House / apartment,0,Cash loans
101117,0,0,House / apartment,0,Cash loans
101127,0,0,House / apartment,0,Cash loans
101131,0,0,Rented apartment,0,Cash loans
101133,0,0,House / apartment,0,Cash loans
101142,0,0,House / apartment,0,Cash loans
101144,0,0,House / apartment,0,Cash loans
101147,0,0,House / apartment,0,Cash loans
101151,0,0,House / apartment,0,Cash loans
101152,0,0,House / apartment,0,Cash loans
101154,0,0,House / apartment,0,Cash loans
101155,0,0,House / apartment,0,Cash loans
101161,0,0,Municipal apartment,0,Cash loans
101164,0,0,House / apartment,0,Cash loans
101165,0,0,House / apartment,0,Revolving loans
101166,0,0,With parents,0,Revolving loans
101171,0,0,House / apartment,0,Cash loans
101173,0,0,House / apartment,0,Cash loans
101175,0,0,House / apartment,0,Revolving loans
101185,0,0,House / apartment,0,Cash loans
101196,0,0,House / apartment,0,Cash loans
101201,0,0,House / apartment,0,Cash loans
101206,0,0,House / apartment,0,Cash loans
101207,0,0,House / apartment,0,Cash loans
101212,0,0,With parents,0,Cash loans
101215,0,0,House / apartment,0,Cash loans
101218,0,0,House / apartment,0,Cash loans
101219,0,0,House / apartment,0,Cash loans
101220,0,0,House / apartment,0,Cash loans
101221,0,0,House / apartment,0,Cash loans
101224,0,0,House / apartment,0,Cash loans
101226,0,0,Rented apartment,0,Cash loans
101228,0,0,House / apartment,0,Cash loans
101233,0,0,House / apartment,0,Cash loans
101234,0,0,House / apartment,0,Cash loans
101240,0,0,Municipal apartment,0,Cash loans
101250,0,0,House / apartment,0,Cash loans
101257,0,0,House / apartment,0,Cash loans
101263,0,0,House / apartment,0,Cash loans
101265,0,0,Rented apartment,0,Cash loans
101273,0,0,House / apartment,0,Cash loans
101275,0,0,House / apartment,0,Cash loans
101283,0,0,House / apartment,0,Cash loans
101284,0,0,House / apartment,0,Cash loans
101288,0,0,House / apartment,0,Cash loans
101306,0,0,House / apartment,0,Cash loans
101310,0,0,House / apartment,0,Cash loans
101321,0,0,House / apartment,0,Revolving loans
101325,0,0,House / apartment,0,Cash loans
101333,0,0,House / apartment,0,Cash loans
101334,0,0,House / apartment,0,Cash loans
101339,0,0,House / apartment,0,Cash loans
101340,0,0,House / apartment,0,Cash loans
101342,0,0,Municipal apartment,0,Cash loans
101344,0,0,House / apartment,0,Cash loans
101349,0,0,House / apartment,0,Cash loans
101358,0,0,House / apartment,0,Revolving loans
101359,0,0,House / apartment,0,Revolving loans
101361,0,0,House / apartment,0,Revolving loans
101370,0,0,House / apartment,0,Cash loans
101375,0,0,House / apartment,0,Cash loans
101376,0,0,House / apartment,0,Cash loans
101384,0,0,House / apartment,0,Cash loans
101389,0,0,Municipal apartment,0,Cash loans
101391,0,0,House / apartment,0,Cash loans
101402,0,0,House / apartment,0,Cash loans
101403,0,0,House / apartment,0,Cash loans
101411,0,0,House / apartment,0,Cash loans
101413,0,0,House / apartment,0,Cash loans
101414,0,0,House / apartment,0,Cash loans
101415,0,0,House / apartment,0,Cash loans
101417,0,0,House / apartment,0,Cash loans
101418,0,0,With parents,0,Cash loans
101419,0,0,House / apartment,0,Cash loans
101430,0,0,House / apartment,0,Cash loans
101432,0,0,House / apartment,0,Cash loans
101433,0,0,House / apartment,0,Cash loans
101438,0,0,House / apartment,0,Cash loans
101441,0,0,House / apartment,0,Cash loans
101445,0,0,With parents,0,Cash loans
101452,0,0,With parents,0,Cash loans
101453,0,0,House / apartment,0,Cash loans
101456,0,0,House / apartment,0,Cash loans
101461,0,0,House / apartment,0,Cash loans
101462,0,0,House / apartment,0,Cash loans
101471,0,0,House / apartment,0,Cash loans
101473,0,0,House / apartment,0,Cash loans
101474,0,0,House / apartment,0,Cash loans
101476,0,0,House / apartment,0,Cash loans
101479,0,0,House / apartment,0,Cash loans
101480,0,0,House / apartment,0,Cash loans
101481,0,0,Rented apartment,0,Cash loans
101486,0,0,House / apartment,0,Cash loans
101491,0,0,House / apartment,0,Cash loans
101492,0,0,House / apartment,0,Cash loans
101500,0,0,Rented apartment,0,Cash loans
101501,0,0,House / apartment,0,Cash loans
101502,0,0,House / apartment,0,Cash loans
101509,0,0,House / apartment,0,Revolving loans
101510,0,0,House / apartment,0,Cash loans
101519,0,0,House / apartment,0,Cash loans
101520,0,0,House / apartment,0,Cash loans
101521,0,0,House / apartment,0,Cash loans
101524,0,0,House / apartment,0,Cash loans
101525,0,0,House / apartment,0,Cash loans
101532,0,0,House / apartment,0,Cash loans
101534,0,0,House / apartment,0,Cash loans
101541,0,0,House / apartment,0,Cash loans
101543,0,0,House / apartment,0,Cash loans
101545,0,0,House / apartment,0,Cash loans
101546,0,0,House / apartment,0,Cash loans
101549,0,0,Municipal apartment,0,Cash loans
101554,0,0,House / apartment,0,Revolving loans
101557,0,0,House / apartment,0,Cash loans
101558,0,0,House / apartment,0,Cash loans
101559,0,0,House / apartment,0,Cash loans
101560,1,0,House / apartment,0,Cash loans
101561,0,0,House / apartment,0,Cash loans
101562,0,0,House / apartment,0,Cash loans
101564,0,0,House / apartment,0,Cash loans
101566,0,1,House / apartment,0,Cash loans
101569,0,0,House / apartment,0,Cash loans
101574,0,0,House / apartment,0,Cash loans
101587,0,0,House / apartment,0,Cash loans
101590,0,0,House / apartment,0,Cash loans
101591,0,0,House / apartment,0,Cash loans
101593,0,0,House / apartment,0,Cash loans
101594,0,0,House / apartment,0,Cash loans
101595,0,0,House / apartment,0,Cash loans
101600,0,0,House / apartment,0,Cash loans
101601,0,0,House / apartment,0,Cash loans
101603,0,0,House / apartment,0,Cash loans
101604,0,0,House / apartment,0,Cash loans
101605,0,0,House / apartment,0,Cash loans
101606,0,0,Municipal apartment,0,Cash loans
101609,0,0,House / apartment,0,Revolving loans
101613,0,0,House / apartment,0,Cash loans
101626,1,0,House / apartment,0,Cash loans
101627,0,0,House / apartment,0,Cash loans
101637,0,0,House / apartment,0,Cash loans
101642,0,0,House / apartment,0,Cash loans
101647,0,0,House / apartment,0,Revolving loans
101653,1,0,House / apartment,0,Cash loans
101660,0,0,House / apartment,0,Cash loans
101661,0,0,Municipal apartment,0,Cash loans
101664,0,0,House / apartment,0,Cash loans
101670,0,0,House / apartment,0,Cash loans
101690,0,0,Municipal apartment,0,Cash loans
101693,0,0,House / apartment,0,Cash loans
101696,0,0,House / apartment,0,Cash loans
101705,0,0,House / apartment,0,Revolving loans
101706,0,0,House / apartment,0,Cash loans
101707,0,0,House / apartment,0,Cash loans
101708,0,0,House / apartment,0,Cash loans
101710,0,0,House / apartment,0,Cash loans
101713,0,0,House / apartment,0,Cash loans
101718,0,0,House / apartment,0,Cash loans
101722,0,0,House / apartment,0,Cash loans
101730,0,0,House / apartment,0,Cash loans
101731,0,0,Office apartment,0,Cash loans
101735,0,0,With parents,0,Cash loans
101737,0,0,House / apartment,0,Cash loans
101738,0,0,House / apartment,0,Cash loans
101740,0,0,House / apartment,0,Revolving loans
101741,0,0,With parents,0,Cash loans
101744,0,1,House / apartment,0,Cash loans
101746,0,0,House / apartment,0,Revolving loans
101747,0,0,House / apartment,0,Revolving loans
101752,0,1,Rented apartment,0,Cash loans
101755,0,0,House / apartment,0,Cash loans
101761,0,0,House / apartment,0,Cash loans
101765,0,0,House / apartment,0,Cash loans
101766,0,0,House / apartment,0,Cash loans
101787,0,0,House / apartment,0,Cash loans
101790,0,0,House / apartment,0,Cash loans
101793,0,0,House / apartment,0,Cash loans
101794,0,0,House / apartment,0,Cash loans
101796,0,0,House / apartment,0,Cash loans
101797,0,0,House / apartment,0,Cash loans
101798,0,0,House / apartment,0,Cash loans
101802,0,0,House / apartment,0,Cash loans
101803,0,0,With parents,0,Cash loans
101806,0,0,House / apartment,0,Cash loans
101808,0,0,House / apartment,0,Revolving loans
101823,0,0,House / apartment,0,Cash loans
101826,0,0,House / apartment,0,Cash loans
101829,0,0,House / apartment,0,Cash loans
101837,0,0,House / apartment,0,Cash loans
101839,0,0,House / apartment,0,Cash loans
101841,0,0,House / apartment,0,Cash loans
101843,0,0,House / apartment,0,Cash loans
101844,0,0,House / apartment,0,Cash loans
101846,0,0,House / apartment,0,Cash loans
101847,0,0,House / apartment,0,Cash loans
101848,0,0,House / apartment,0,Cash loans
101858,0,0,House / apartment,0,Cash loans
101859,0,0,House / apartment,0,Cash loans
101864,0,0,House / apartment,0,Cash loans
101866,0,0,House / apartment,0,Cash loans
101875,1,0,House / apartment,0,Cash loans
101876,0,0,House / apartment,0,Cash loans
101882,0,0,House / apartment,0,Cash loans
101888,0,0,Municipal apartment,0,Cash loans
101892,0,0,House / apartment,0,Cash loans
101893,0,0,House / apartment,0,Cash loans
101902,0,0,With parents,0,Revolving loans
101904,0,0,House / apartment,0,Cash loans
101905,1,0,House / apartment,0,Cash loans
101908,0,0,House / apartment,0,Cash loans
101910,0,0,House / apartment,0,Cash loans
101919,0,0,House / apartment,0,Revolving loans
101926,0,0,House / apartment,0,Cash loans
101927,0,0,Office apartment,0,Cash loans
101928,0,0,House / apartment,0,Cash loans
101929,0,0,House / apartment,0,Revolving loans
101935,0,0,House / apartment,0,Cash loans
101937,0,0,House / apartment,0,Cash loans
101941,0,0,House / apartment,0,Cash loans
101942,0,0,House / apartment,0,Cash loans
101950,0,0,House / apartment,0,Cash loans
101951,0,0,House / apartment,0,Revolving loans
101954,0,0,House / apartment,0,Cash loans
101955,0,0,Municipal apartment,0,Cash loans
101956,0,0,With parents,0,Cash loans
101957,0,0,House / apartment,0,Revolving loans
101958,0,0,House / apartment,0,Revolving loans
101960,0,0,House / apartment,0,Cash loans
101980,0,0,Office apartment,0,Cash loans
101982,1,0,Rented apartment,0,Cash loans
101983,0,0,House / apartment,0,Cash loans
101986,0,0,House / apartment,0,Cash loans
101987,0,0,House / apartment,0,Cash loans
101994,0,0,House / apartment,0,Cash loans
101995,0,0,House / apartment,0,Cash loans
102000,0,0,House / apartment,0,Revolving loans
102001,0,0,With parents,0,Cash loans
102011,0,0,House / apartment,0,Cash loans
102015,0,0,House / apartment,0,Cash loans
102020,0,0,House / apartment,0,Cash loans
102021,0,0,House / apartment,0,Cash loans
102027,0,0,House / apartment,0,Cash loans
102028,0,0,House / apartment,0,Cash loans
102031,0,0,House / apartment,0,Cash loans
102032,0,0,House / apartment,0,Cash loans
102036,0,0,Municipal apartment,0,Cash loans
102040,0,0,House / apartment,0,Cash loans
102043,0,0,House / apartment,0,Cash loans
102046,1,0,House / apartment,0,Revolving loans
102060,0,0,House / apartment,0,Cash loans
102061,0,0,House / apartment,0,Cash loans
102063,0,0,House / apartment,0,Cash loans
102074,0,0,House / apartment,0,Cash loans
102081,0,0,House / apartment,0,Cash loans
102083,0,0,House / apartment,0,Cash loans
102085,0,0,House / apartment,0,Cash loans
102086,0,0,Municipal apartment,0,Cash loans
102087,0,0,House / apartment,0,Cash loans
102088,1,0,House / apartment,0,Cash loans
102089,0,0,House / apartment,0,Cash loans
102093,0,0,House / apartment,0,Cash loans
102094,0,0,House / apartment,0,Cash loans
102096,0,0,House / apartment,0,Cash loans
102102,0,0,House / apartment,0,Cash loans
102103,0,0,House / apartment,0,Revolving loans
102124,0,0,House / apartment,0,Cash loans
102128,0,0,House / apartment,0,Revolving loans
102129,0,0,House / apartment,0,Revolving loans
102130,0,0,House / apartment,0,Cash loans
102135,0,0,House / apartment,0,Cash loans
102140,0,0,House / apartment,0,Cash loans
102141,0,0,With parents,0,Cash loans
102142,0,0,House / apartment,0,Cash loans
102143,0,0,House / apartment,0,Cash loans
102150,1,0,Rented apartment,0,Cash loans
102152,0,0,House / apartment,0,Cash loans
102160,0,0,House / apartment,0,Cash loans
102163,0,0,House / apartment,0,Cash loans
102164,0,0,House / apartment,0,Cash loans
102169,0,0,House / apartment,0,Cash loans
102170,0,0,House / apartment,0,Cash loans
102175,0,0,House / apartment,0,Cash loans
102178,0,0,House / apartment,0,Cash loans
102179,0,0,House / apartment,0,Revolving loans
102181,0,0,House / apartment,0,Cash loans
102182,0,0,House / apartment,0,Cash loans
102192,0,0,House / apartment,0,Cash loans
102195,0,0,House / apartment,0,Revolving loans
102196,1,0,House / apartment,0,Cash loans
102199,0,0,House / apartment,0,Cash loans
102203,0,0,House / apartment,0,Cash loans
102207,0,0,House / apartment,0,Cash loans
102208,0,0,House / apartment,0,Revolving loans
102211,0,0,House / apartment,0,Cash loans
102212,0,0,House / apartment,0,Cash loans
102224,0,0,House / apartment,0,Revolving loans
102227,0,0,House / apartment,0,Cash loans
102233,0,0,House / apartment,0,Cash loans
102234,0,0,House / apartment,0,Revolving loans
102235,0,0,House / apartment,0,Cash loans
102239,0,0,House / apartment,0,Cash loans
102244,0,0,House / apartment,0,Revolving loans
102246,0,0,House / apartment,0,Cash loans
102250,0,0,House / apartment,0,Cash loans
102251,0,0,House / apartment,0,Cash loans
102258,0,0,House / apartment,0,Cash loans
102261,0,0,House / apartment,0,Cash loans
102268,0,0,House / apartment,0,Cash loans
102270,0,0,House / apartment,0,Cash loans
102271,0,0,House / apartment,0,Cash loans
102277,0,0,House / apartment,0,Cash loans
102279,0,0,With parents,0,Cash loans
102284,0,0,With parents,0,Cash loans
102287,0,0,House / apartment,0,Cash loans
102289,0,0,House / apartment,0,Cash loans
102291,0,0,House / apartment,0,Cash loans
102292,0,0,House / apartment,0,Cash loans
102299,0,0,House / apartment,0,Cash loans
102301,0,0,House / apartment,0,Cash loans
102304,0,0,House / apartment,0,Cash loans
102312,0,0,House / apartment,0,Cash loans
102313,0,0,House / apartment,0,Revolving loans
102321,0,0,House / apartment,0,Cash loans
102326,0,0,House / apartment,0,Cash loans
102327,0,0,House / apartment,0,Cash loans
102330,0,0,Co-op apartment,0,Cash loans
102332,0,0,House / apartment,0,Cash loans
102333,0,0,House / apartment,0,Cash loans
102336,0,0,House / apartment,0,Cash loans
102348,0,0,House / apartment,0,Cash loans
102349,0,0,House / apartment,0,Cash loans
102350,0,0,House / apartment,0,Revolving loans
102355,0,0,House / apartment,0,Cash loans
102358,0,0,House / apartment,0,Cash loans
102359,0,0,House / apartment,0,Cash loans
102360,0,0,With parents,0,Cash loans
102361,0,0,House / apartment,0,Cash loans
102362,0,0,House / apartment,0,Cash loans
102363,0,0,House / apartment,0,Cash loans
