SK_ID_CURR,FLAG_DOCUMENT_19,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,NONLIVINGAPARTMENTS_MEDI,FLOORSMAX_MODE
100285,Nay,0.0,0.0,,
100286,Nay,0.0,0.0,,
100288,Nay,,,0.0039,0.1667
100290,Nay,0.0,0.0,,0.375
100293,Nay,0.0,0.0,,
100296,Nay,,,0.0,0.375
100301,Nay,0.0,1.0,0.0,0.3333
100305,Nay,,,0.0,0.0833
100308,Nay,0.0,0.0,,
100314,Nay,0.0,0.0,,
100320,Nay,1.0,0.0,,
100321,Nay,0.0,0.0,,
100326,Nay,0.0,0.0,,
100335,Nay,0.0,0.0,,
100337,Nay,,,0.0,0.1667
100339,Nay,0.0,0.0,0.0078,0.1667
100343,Nay,0.0,0.0,0.0039,0.3333
100347,Nay,0.0,0.0,,
100350,Nay,0.0,0.0,,
100353,Nay,,,0.0,0.1667
100357,Nay,0.0,0.0,,
100359,Nay,0.0,0.0,0.0,0.1667
100361,Nay,0.0,0.0,0.0,0.1667
100369,Nay,0.0,0.0,0.0175,0.625
100371,Nay,0.0,0.0,0.0,0.6667
100374,Nay,0.0,0.0,,
100376,Nay,0.0,0.0,0.0,0.3333
100378,Nay,0.0,0.0,,
100383,Nay,0.0,0.0,,
100387,Nay,0.0,0.0,,0.1667
100388,Nay,0.0,0.0,,0.1667
100390,Nay,0.0,2.0,,
100392,Nay,0.0,0.0,,
100394,Nay,0.0,0.0,,
100395,Nay,0.0,0.0,0.0,0.1667
100396,Nay,0.0,0.0,,
100397,Nay,0.0,0.0,0.0,0.1667
100405,Nay,,,,
100407,Nay,0.0,0.0,0.0,0.1667
100408,Nay,,,,0.3333
100413,Nay,,,,
100417,Nay,0.0,0.0,,
100420,Nay,0.0,0.0,0.0039,0.3333
100425,Nay,0.0,0.0,0.0,0.0833
100431,Nay,0.0,0.0,0.0039,0.1667
100436,Nay,0.0,0.0,0.0,0.1667
100443,Nay,0.0,0.0,,
100449,Nay,0.0,0.0,0.0039,0.1667
100457,Nay,,,0.0,0.3333
100461,Nay,0.0,0.0,,
100463,Nay,0.0,0.0,,
100464,Nay,0.0,0.0,0.0078,0.3333
100465,Nay,0.0,0.0,0.0,0.125
100469,Nay,,,0.0,0.0833
100472,Nay,0.0,0.0,0.0,0.1667
100474,Nay,,,,1.0
100475,Nay,0.0,0.0,,0.3333
100480,Nay,,,,0.1667
100481,Nay,0.0,0.0,,
100482,Nay,3.0,0.0,,
100485,Nay,0.0,0.0,,0.375
100488,Nay,0.0,1.0,,
100495,Nay,0.0,0.0,,
100497,Nay,0.0,0.0,0.0,0.0
100501,Nay,0.0,1.0,,
100506,Nay,,,,
100519,Nay,0.0,0.0,0.0039,0.125
100521,Nay,0.0,3.0,,0.1667
100522,Nay,0.0,0.0,0.0,0.1667
100524,Nay,,,0.0,0.3333
100525,Nay,0.0,0.0,0.0058,0.1667
100526,Nay,,,,
100530,Nay,0.0,1.0,,
100532,Nay,,,,
100534,Nay,1.0,2.0,,0.1667
100537,Nay,0.0,0.0,,0.375
100538,Nay,1.0,0.0,,
100539,Nay,0.0,0.0,0.0,0.125
100544,Nay,0.0,0.0,0.0039,0.1667
100546,Nay,0.0,0.0,,0.0
100554,Nay,0.0,0.0,,0.5833
100555,Nay,0.0,0.0,,0.0417
100558,Nay,0.0,0.0,,
100563,Nay,0.0,0.0,,
100570,Nay,0.0,0.0,0.0039,0.3333
100571,Nay,0.0,0.0,,
100574,Nay,0.0,0.0,,0.3333
100581,Nay,0.0,7.0,0.0039,0.3333
100586,Nay,0.0,0.0,,
100590,Nay,,,0.0,0.375
100595,Nay,0.0,0.0,,0.1667
100598,Nay,0.0,0.0,,
100601,Nay,0.0,0.0,,
100606,Nay,0.0,0.0,,
100609,Nay,,,,
100610,Nay,0.0,0.0,,0.3333
100611,Nay,,,,
100612,Nay,0.0,0.0,0.0039,0.1667
100616,Nay,,,0.0,0.625
100619,Nay,0.0,0.0,,0.1667
100621,Nay,0.0,3.0,,0.3333
100628,Nay,0.0,0.0,0.0039,0.1667
100633,Nay,0.0,0.0,,
100635,Nay,0.0,0.0,0.0,0.1667
100640,Nay,0.0,0.0,0.0233,0.375
100642,Nay,,,0.0,0.1667
100646,Nay,0.0,0.0,,
100649,Nay,0.0,0.0,0.0155,0.2083
100650,Nay,0.0,3.0,,0.3333
100652,Nay,0.0,1.0,,
100658,Nay,0.0,1.0,0.0078,0.1667
100661,Nay,,,,
100671,Nay,0.0,0.0,,
100680,Nay,0.0,0.0,,
100681,Nay,0.0,1.0,,
100690,Nay,,,,
100691,Nay,0.0,0.0,0.0,0.1667
100692,Nay,1.0,1.0,,
100693,Nay,1.0,0.0,,0.0
100695,Nay,0.0,0.0,,
100696,Nay,0.0,0.0,,
100697,Nay,0.0,0.0,0.0,0.4167
100700,Nay,0.0,2.0,,
100708,Nay,,,,0.125
100709,Nay,0.0,1.0,,
100710,Nay,0.0,0.0,,
100712,Nay,0.0,9.0,0.0,0.3333
100723,Nay,,,0.0,0.1667
100724,Nay,0.0,0.0,0.0,0.3333
100728,Nay,0.0,3.0,0.0,0.1667
100732,Nay,0.0,0.0,,
100733,Nay,0.0,0.0,,0.1667
100741,Nay,0.0,0.0,,
100743,Nay,0.0,0.0,,
100748,Nay,0.0,0.0,,
100749,Nay,0.0,0.0,,
100750,Nay,0.0,0.0,0.0,0.1667
100759,Nay,0.0,1.0,,0.1667
100773,Nay,0.0,0.0,,
100789,Nay,0.0,0.0,0.0,0.3333
100793,Nay,0.0,0.0,,
100795,Nay,0.0,1.0,,
100796,Nay,0.0,1.0,,
100798,Nay,0.0,0.0,,
100800,Nay,0.0,0.0,,0.1667
100802,Nay,0.0,0.0,0.0,0.1667
100803,Nay,0.0,0.0,,0.1667
100805,Nay,0.0,1.0,0.0,0.3333
100806,Nay,0.0,0.0,,
100807,Nay,0.0,1.0,,
100810,Nay,0.0,0.0,0.0078,0.375
100811,Nay,0.0,0.0,0.0,0.3333
100815,Nay,0.0,0.0,,
100816,Nay,0.0,0.0,,
100819,Nay,0.0,0.0,,
100827,Nay,0.0,0.0,,
100828,Nay,,,,0.3333
100835,Nay,0.0,0.0,,0.1667
100837,Nay,,,,0.0417
100842,Nay,0.0,0.0,,
100843,Nay,1.0,0.0,0.0,0.3333
100845,Nay,0.0,0.0,,
100846,Nay,0.0,0.0,,0.1667
100848,Nay,0.0,0.0,,
100850,Nay,0.0,0.0,,
100851,Nay,0.0,0.0,,
100852,Nay,0.0,1.0,0.0039,0.1667
100857,Nay,,,0.0,0.1667
100874,Nay,0.0,1.0,0.0776,0.375
100877,Nay,,,0.0,0.0417
100880,Nay,0.0,0.0,0.0194,0.1667
100888,Nay,0.0,0.0,0.0019,0.4583
100890,Nay,0.0,0.0,0.0116,0.3333
100891,Nay,0.0,0.0,0.0,0.1667
100892,Nay,,,0.0,0.625
100894,Nay,0.0,0.0,,
100896,Nay,0.0,0.0,,
100899,Nay,0.0,0.0,,
100900,Nay,0.0,0.0,,
100915,Nay,0.0,0.0,,
100922,Nay,0.0,0.0,,0.1667
100932,Nay,0.0,0.0,0.0039,0.3333
100941,Nay,,,0.0,0.3333
100942,Nay,0.0,0.0,,
100945,Nay,0.0,0.0,,
100947,Nay,0.0,0.0,,
100949,Nay,,,,
100950,Nay,0.0,0.0,0.0,0.375
100959,Nay,1.0,0.0,,
100964,Nay,0.0,0.0,,0.1667
100972,Nay,0.0,0.0,,
100977,Nay,0.0,0.0,,0.0417
100978,Nay,0.0,1.0,,
100980,Nay,0.0,3.0,0.0233,0.4583
100981,Nay,0.0,0.0,0.0,0.3333
100991,Nay,0.0,0.0,,0.1667
100992,Nay,0.0,0.0,0.0,0.1667
100994,Nay,0.0,0.0,,
101000,Nay,0.0,1.0,,
101001,Nay,0.0,0.0,,
101007,Nay,0.0,0.0,,
101012,Nay,0.0,0.0,,0.0417
101015,Nay,,,,
101029,Nay,0.0,1.0,,0.3333
101030,Nay,0.0,0.0,0.0039,0.125
101035,Nay,0.0,0.0,,
101037,Nay,0.0,0.0,,0.3333
101039,Nay,0.0,1.0,0.0116,0.2083
101043,Nay,0.0,0.0,,0.0417
101048,Nay,0.0,3.0,0.0,0.1667
101052,Nay,0.0,0.0,,0.4167
101058,Nay,0.0,0.0,,
101060,Nay,0.0,0.0,,0.6667
101065,Nay,0.0,0.0,0.0311,0.1667
101066,Nay,0.0,0.0,,
101071,Nay,0.0,0.0,,
101074,Nay,0.0,0.0,,0.0417
101078,Nay,0.0,0.0,0.0,0.1667
101081,Nay,0.0,0.0,0.0078,0.0833
101086,Nay,0.0,0.0,,
101091,Nay,,,,
101110,Nay,0.0,0.0,0.0,0.0417
101117,Nay,0.0,0.0,,0.3333
101127,Nay,0.0,0.0,,
101131,Nay,0.0,0.0,,
101133,Nay,0.0,0.0,,
101142,Nay,0.0,1.0,,
101144,Nay,0.0,0.0,0.0,0.1667
101147,Nay,0.0,0.0,,0.375
101151,Nay,0.0,0.0,,
101152,Nay,0.0,0.0,0.0,0.0
101154,Nay,0.0,0.0,,
101155,Nay,0.0,1.0,0.0039,0.1667
101161,Nay,,,0.0,0.1667
101164,Nay,0.0,0.0,,
101165,Nay,,,,
101166,Nay,0.0,0.0,0.0039,0.3333
101171,Nay,0.0,0.0,,
101173,Nay,0.0,0.0,,
101175,Nay,0.0,0.0,,0.125
101185,Nay,0.0,0.0,0.0039,0.1667
101196,Nay,0.0,0.0,,0.1667
101201,Nay,0.0,0.0,0.0,0.0417
101206,Nay,0.0,0.0,,
101207,Nay,0.0,1.0,,
101212,Nay,0.0,1.0,0.0,0.1667
101215,Nay,0.0,0.0,0.0039,0.6667
101218,Nay,1.0,0.0,0.0039,0.625
101219,Nay,0.0,2.0,,
101220,Nay,,,,0.3333
101221,Nay,0.0,0.0,,
101224,Nay,0.0,0.0,0.0039,0.3333
101226,Nay,0.0,0.0,,0.0417
101228,Nay,0.0,0.0,0.0,0.0833
101233,Nay,0.0,0.0,,
101234,Nay,0.0,0.0,,
101240,Nay,0.0,0.0,0.0116,0.125
101250,Nay,0.0,0.0,,
101257,Nay,0.0,0.0,,
101263,Nay,0.0,0.0,,
101265,Nay,0.0,2.0,0.0,0.1667
101273,Nay,1.0,0.0,,
101275,Nay,0.0,0.0,,
101283,Nay,0.0,0.0,,
101284,Nay,0.0,1.0,,
101288,Nay,,,0.0078,0.1667
101306,Nay,1.0,0.0,0.0,0.1667
101310,Nay,0.0,0.0,0.0039,0.1667
101321,Nay,0.0,0.0,,
101325,Nay,0.0,0.0,,
101333,Nay,,,0.0,0.0833
101334,Nay,0.0,0.0,,0.1667
101339,Nay,0.0,0.0,,
101340,Nay,,,,
101342,Nay,0.0,1.0,0.0,0.0417
101344,Nay,0.0,0.0,,
101349,Nay,0.0,0.0,,
101358,Nay,0.0,0.0,,
101359,Nay,0.0,1.0,0.0,0.0833
101361,Nay,,,,0.1667
101370,Nay,0.0,0.0,,
101375,Nay,0.0,0.0,0.0078,0.3333
101376,Nay,,,,
101384,Nay,0.0,0.0,,
101389,Nay,0.0,0.0,0.0582,0.3333
101391,Nay,0.0,0.0,,
101402,Nay,0.0,0.0,,0.1667
101403,Nay,0.0,0.0,,0.1667
101411,Nay,0.0,0.0,0.0039,0.1667
101413,Nay,0.0,0.0,0.0078,0.0417
101414,Nay,0.0,4.0,,
101415,Nay,0.0,0.0,,
101417,Nay,0.0,0.0,,
101418,Nay,,,0.0,0.3333
101419,Nay,0.0,0.0,,
101430,Nay,0.0,0.0,,0.1667
101432,Nay,0.0,0.0,,
101433,Nay,0.0,0.0,0.0,0.3333
101438,Nay,,,0.0039,0.125
101441,Nay,0.0,1.0,,
101445,Nay,,,0.0,0.0833
101452,Nay,0.0,0.0,0.0,0.3333
101453,Nay,0.0,0.0,,
101456,Nay,,,,
101461,Nay,0.0,0.0,0.0155,0.3333
101462,Nay,0.0,0.0,,0.0417
101471,Nay,0.0,0.0,,0.4583
101473,Nay,0.0,2.0,,
101474,Nay,,,,
101476,Nay,0.0,0.0,0.0,0.0833
101479,Nay,0.0,0.0,,
101480,Nay,,,,
101481,Nay,0.0,0.0,0.0,0.1667
101486,Nay,0.0,0.0,,
101491,Nay,0.0,0.0,0.0485,0.1667
101492,Nay,0.0,0.0,,
101500,Nay,,,0.0,0.3333
101501,Nay,0.0,0.0,0.0078,0.1667
101502,Nay,0.0,0.0,,
101509,Nay,,,0.0,0.1667
101510,Nay,0.0,0.0,,
101519,Nay,0.0,0.0,,
101520,Nay,0.0,0.0,,
101521,Nay,0.0,0.0,,
101524,Nay,0.0,0.0,,
101525,Nay,0.0,1.0,,0.125
101532,Nay,0.0,0.0,,
101534,Nay,0.0,0.0,,0.0833
101541,Nay,0.0,0.0,,0.3333
101543,Nay,0.0,1.0,,
101545,Nay,0.0,0.0,0.0,0.0417
101546,Nay,,,0.0,0.1667
101549,Nay,0.0,0.0,,0.0833
101554,Nay,0.0,0.0,,
101557,Nay,0.0,1.0,,0.1667
101558,Nay,0.0,0.0,0.0039,0.4167
101559,Nay,,,0.0039,0.1667
101560,Nay,0.0,0.0,0.0,0.0417
101561,Nay,0.0,0.0,,
101562,Nay,0.0,0.0,,
101564,Nay,,,,
101566,Nay,0.0,4.0,0.0,0.1667
101569,Nay,0.0,0.0,0.0,0.1667
101574,Nay,,,,
101587,Nay,0.0,0.0,0.0,0.1667
101590,Nay,0.0,0.0,,
101591,Nay,0.0,1.0,0.0,0.0417
101593,Nay,0.0,0.0,,
101594,Nay,0.0,0.0,0.0,0.1667
101595,Nay,0.0,0.0,0.0,0.125
101600,Nay,0.0,0.0,0.0,0.375
101601,Nay,1.0,0.0,0.0,0.1667
101603,Nay,0.0,0.0,,0.3333
101604,Nay,0.0,0.0,,0.1667
101605,Nay,0.0,3.0,0.0,0.3333
101606,Nay,0.0,1.0,0.0,0.0
101609,Nay,0.0,0.0,,
101613,Nay,0.0,0.0,,
101626,Nay,0.0,1.0,0.0,0.1667
101627,Nay,0.0,0.0,,
101637,Nay,0.0,1.0,,
101642,Nay,1.0,0.0,0.0039,0.1667
101647,Nay,,,,0.9583
101653,Nay,0.0,0.0,0.0,0.1667
101660,Nay,,,0.0039,0.1667
101661,Nay,0.0,0.0,,
101664,Nay,,,0.0039,0.1667
101670,Nay,0.0,0.0,0.0039,0.3333
101690,Nay,0.0,0.0,0.0,0.0417
101693,Nay,0.0,0.0,0.0116,0.0417
101696,Nay,0.0,0.0,,
101705,Nay,0.0,0.0,,0.3333
101706,Nay,0.0,0.0,,
101707,Nay,0.0,0.0,0.0194,0.1667
101708,Nay,0.0,0.0,0.0,0.0417
101710,Nay,0.0,0.0,,
101713,Nay,0.0,1.0,0.0776,0.5833
101718,Nay,0.0,5.0,,0.1667
101722,Nay,0.0,0.0,,
101730,Nay,0.0,0.0,0.0039,0.0833
101731,Nay,0.0,0.0,,0.375
101735,Nay,0.0,0.0,,
101737,Nay,0.0,0.0,,
101738,Nay,,,0.0,0.3333
101740,Nay,0.0,0.0,,
101741,Nay,0.0,0.0,,
101744,Nay,0.0,1.0,,
101746,Nay,0.0,0.0,,
101747,Nay,0.0,0.0,0.0078,0.4583
101752,Nay,,,,
101755,Nay,0.0,0.0,0.0078,0.0833
101761,Nay,,,0.0,0.1667
101765,Nay,0.0,0.0,0.0039,0.1667
101766,Nay,0.0,0.0,,0.0417
101787,Nay,0.0,0.0,0.0,0.625
101790,Nay,0.0,1.0,,
101793,Nay,0.0,0.0,,
101794,Nay,0.0,0.0,,
101796,Nay,0.0,0.0,,
101797,Nay,0.0,0.0,,0.0417
101798,Nay,,,,
101802,Nay,0.0,2.0,,0.1667
101803,Nay,0.0,0.0,,
101806,Nay,0.0,0.0,,0.3333
101808,Nay,,,,
101823,Nay,0.0,0.0,,
101826,Nay,0.0,0.0,,
101829,Nay,0.0,0.0,,
101837,Nay,0.0,1.0,0.0039,0.4583
101839,Nay,0.0,0.0,0.0194,0.3333
101841,Nay,,,,0.1667
101843,Nay,0.0,0.0,,0.3333
101844,Nay,0.0,1.0,0.0,0.1667
101846,Nay,,,,
101847,Nay,0.0,1.0,,0.1667
101848,Nay,0.0,0.0,,
101858,Nay,0.0,0.0,,
101859,Nay,0.0,0.0,0.0,0.1667
101864,Nay,0.0,0.0,0.0,0.0417
101866,Nay,0.0,0.0,,
101875,Nay,0.0,0.0,,0.0417
101876,Nay,0.0,0.0,,0.1667
101882,Nay,0.0,1.0,,
101888,Nay,0.0,0.0,,
101892,Nay,0.0,0.0,,
101893,Nay,0.0,0.0,,
101902,Nay,0.0,0.0,,0.1667
101904,Nay,0.0,0.0,,0.1667
101905,Nay,0.0,0.0,,
101908,Nay,0.0,0.0,,
101910,Nay,,,,
101919,Nay,0.0,0.0,0.0,0.0417
101926,Nay,0.0,0.0,0.0039,0.375
101927,Nay,0.0,5.0,,
101928,Nay,0.0,0.0,,
101929,Nay,0.0,1.0,0.0,0.3333
101935,Nay,0.0,0.0,,0.1667
101937,Nay,,,0.0,0.1667
101941,Nay,0.0,0.0,,
101942,Nay,0.0,0.0,,
101950,Nay,0.0,0.0,,0.3333
101951,Nay,0.0,1.0,,
101954,Nay,0.0,0.0,,
101955,Nay,0.0,1.0,0.0039,0.3333
101956,Nay,0.0,0.0,0.0,0.0417
101957,Nay,0.0,0.0,,
101958,Nay,0.0,0.0,,
101960,Nay,0.0,0.0,0.0,0.3333
101980,Nay,0.0,0.0,0.0,0.1667
101982,Nay,0.0,1.0,0.0427,0.6667
101983,Nay,,,,
101986,Nay,0.0,0.0,,
101987,Nay,0.0,1.0,,
101994,Nay,,,0.0738,0.6667
101995,Nay,0.0,0.0,,0.3333
102000,Nay,0.0,0.0,,
102001,Nay,0.0,0.0,,
102011,Nay,1.0,0.0,0.0,0.0417
102015,Nay,0.0,0.0,,0.3333
102020,Nay,0.0,0.0,0.0019,0.3333
102021,Nay,0.0,0.0,0.0,0.0417
102027,Nay,0.0,0.0,,
102028,Nay,0.0,0.0,,
102031,Nay,0.0,0.0,0.0039,0.0417
102032,Nay,0.0,0.0,0.0,0.1667
102036,Nay,0.0,0.0,0.0058,0.3333
102040,Nay,0.0,0.0,,
102043,Nay,0.0,1.0,,
102046,Nay,,,0.0,0.6667
102060,Nay,,,,
102061,Nay,0.0,0.0,0.0,0.0417
102063,Nay,0.0,0.0,,0.1667
102074,Nay,0.0,1.0,0.0,0.3333
102081,Nay,0.0,0.0,,
102083,Nay,0.0,0.0,,
102085,Nay,0.0,0.0,,0.1667
102086,Nay,0.0,0.0,0.0,0.125
102087,Nay,0.0,0.0,,
102088,Nay,,,,0.1667
102089,Nay,0.0,0.0,0.0,0.2083
102093,Nay,0.0,0.0,,0.125
102094,Nay,0.0,0.0,,
102096,Nay,1.0,0.0,0.0,0.1667
102102,Nay,0.0,0.0,0.0039,0.1667
102103,Nay,0.0,0.0,,0.375
102124,Nay,0.0,0.0,0.0,0.1667
102128,Nay,0.0,0.0,,0.0417
102129,Nay,0.0,0.0,,
102130,Nay,0.0,1.0,,0.0
102135,Nay,,,0.0,0.3333
102140,Nay,0.0,0.0,,
102141,Nay,0.0,0.0,,0.1667
102142,Nay,0.0,0.0,0.0,0.375
102143,Nay,0.0,0.0,0.7492,0.375
102150,Nay,,,,
102152,Nay,0.0,0.0,,0.0417
102160,Nay,0.0,0.0,0.0039,0.3333
102163,Nay,0.0,0.0,,
102164,Nay,0.0,0.0,0.0078,0.3333
102169,Nay,0.0,0.0,,
102170,Nay,0.0,0.0,0.0,0.1667
102175,Nay,0.0,0.0,0.0078,0.1667
102178,Nay,0.0,0.0,0.0,0.1667
102179,Nay,0.0,0.0,0.0039,0.3333
102181,Nay,,,0.0,0.1667
102182,Nay,,,,0.125
102192,Nay,0.0,0.0,,
102195,Nay,0.0,0.0,,
102196,Nay,0.0,0.0,,
102199,Nay,,,,
102203,Nay,0.0,0.0,,
102207,Yay,0.0,0.0,,0.3333
102208,Nay,,,0.0,0.1667
102211,Nay,0.0,0.0,,
102212,Nay,0.0,0.0,,0.3333
102224,Nay,0.0,0.0,,
102227,Nay,0.0,0.0,0.0,0.0417
102233,Nay,0.0,1.0,0.1242,0.375
102234,Nay,0.0,0.0,,
102235,Nay,0.0,0.0,,
102239,Nay,0.0,0.0,0.0039,0.1667
102244,Nay,,,,0.0833
102246,Nay,0.0,0.0,,0.1667
102250,Nay,0.0,0.0,0.0,0.1667
102251,Nay,0.0,1.0,,0.1667
102258,Nay,0.0,0.0,,
102261,Nay,0.0,0.0,,
102268,Nay,0.0,0.0,0.0,0.1667
102270,Nay,0.0,0.0,0.0,0.1667
102271,Nay,0.0,0.0,,
102277,Nay,0.0,0.0,0.0,0.3333
102279,Nay,0.0,0.0,,
102284,Nay,0.0,0.0,,0.1667
102287,Nay,,,,
102289,Nay,0.0,0.0,0.0,0.3333
102291,Nay,0.0,0.0,0.0,0.1667
102292,Nay,0.0,2.0,0.0,0.3333
102299,Nay,0.0,0.0,,
102301,Nay,0.0,0.0,,
102304,Nay,0.0,0.0,,
102312,Nay,0.0,0.0,,
102313,Nay,0.0,0.0,,0.0417
102321,Nay,0.0,1.0,0.0,0.1667
102326,Nay,,,,
102327,Nay,0.0,0.0,,
102330,Nay,0.0,1.0,,
102332,Nay,0.0,0.0,0.0,0.1667
102333,Nay,0.0,0.0,,
102336,Nay,0.0,0.0,,0.375
102348,Nay,0.0,0.0,,
102349,Nay,0.0,0.0,,0.1667
102350,Nay,0.0,2.0,,0.1667
102355,Nay,0.0,0.0,,
102358,Nay,0.0,1.0,,
102359,Nay,,,,
102360,Nay,0.0,1.0,,0.1667
102361,Nay,0.0,0.0,,
102362,Nay,0.0,0.0,0.0039,0.3333
102363,Nay,,,,
102371,Nay,0.0,0.0,0.0,0.1667
102372,Nay,0.0,0.0,,0.375
102381,Nay,0.0,0.0,,
102383,Nay,0.0,0.0,0.0039,0.1667
102384,Nay,0.0,0.0,,
102385,Nay,,,,
102386,Nay,0.0,0.0,,0.1667
102392,Nay,0.0,0.0,,
102397,Nay,0.0,3.0,0.1514,0.1667
102401,Nay,0.0,0.0,,0.3333
102406,Nay,,,,
102411,Nay,0.0,0.0,,
102412,Nay,0.0,0.0,,
102417,Nay,0.0,0.0,0.0,0.3333
102418,Nay,0.0,7.0,,
102424,Nay,0.0,0.0,0.0039,0.1667
102428,Nay,0.0,0.0,,0.3333
102431,Nay,1.0,0.0,,
102433,Nay,0.0,1.0,,0.3333
102438,Nay,0.0,0.0,,0.1667
102466,Nay,0.0,0.0,0.0039,0.1667
102472,Nay,,,,
102477,Nay,0.0,1.0,,
102485,Nay,0.0,0.0,0.0039,0.125
102488,Nay,,,,
102493,Nay,0.0,0.0,0.0039,0.1667
102496,Nay,0.0,0.0,,
102504,Nay,0.0,0.0,0.0,0.0417
102505,Nay,0.0,0.0,,
102513,Nay,0.0,1.0,0.0039,0.375
102515,Nay,0.0,0.0,,0.1667
102516,Nay,0.0,0.0,,
102518,Nay,0.0,0.0,,
102524,Nay,0.0,0.0,0.0,0.1667
102525,Nay,0.0,0.0,,
102526,Nay,0.0,0.0,0.0,0.0
102530,Nay,0.0,0.0,,
102537,Nay,0.0,1.0,,
102540,Nay,0.0,0.0,,
102541,Nay,0.0,0.0,,0.375
102546,Nay,0.0,0.0,,
102547,Nay,0.0,0.0,0.0,0.1667
102548,Nay,1.0,1.0,,0.1667
102550,Nay,0.0,0.0,,
102552,Nay,0.0,0.0,,
102553,Nay,0.0,0.0,0.0155,0.1667
102554,Nay,0.0,0.0,,0.0417
102565,Nay,1.0,0.0,,
102569,Nay,0.0,0.0,,
102570,Nay,0.0,2.0,,
102572,Nay,0.0,0.0,,
102573,Nay,0.0,0.0,0.0039,0.375
102574,Nay,0.0,0.0,,
102577,Nay,0.0,0.0,,
102578,Nay,0.0,1.0,0.0,0.3333
102579,Nay,,,,
102581,Nay,0.0,0.0,,
102585,Nay,0.0,0.0,,
102590,Nay,0.0,0.0,0.0116,0.1667
